5.749493	5.749493	1a f c
6.328176	6.328176	1a
7.012639	7.012639	1b m c
7.367316	7.367316	1b
9.538932	9.538932	2a f c
11.629656	11.629656	2a
12.227006	12.227006	2b m c
13.371927	13.371927	2b
15.636879	15.636879	3a f c
16.196894	16.196894	3a
16.875135	16.875135	3b m c
18.256507	18.256507	3b
20.496569	20.496569	4a f
20.807689	20.807689	4a
21.653935	21.653935	4b m
21.927720	21.927720	4b
24.211339	24.211339	5a f c
24.758910	24.758910	5a
25.412261	25.412261	5b m c
25.810494	25.810494	5b
28.274563	28.274563	6a f c
28.952804	28.952804	6a
29.606155	29.606155	6b m c
30.215950	30.215950	6b
32.736020	32.736020	7a f
33.501375	33.501375	7a
34.160948	34.160948	7b m
34.870302	34.870302	7b
37.340592	37.340592	8a f c
37.888163	37.888163	8a
38.609961	38.609961	8b m
39.039306	39.039306	8b
41.677602	41.677602	9a f c
42.138059	42.138059	9a
42.928303	42.928303	9b m c
44.154115	44.154115	9b
46.711519	46.711519	10a f d
47.451984	47.451984	10a
48.136448	48.136448	10b m d
49.611155	49.611155	10b
